host_id,host_response_rate,host_listings_count,host_total_listings_count,accommodates,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
67730,0,1.0,1.0,1.0,30.0,730.0,30.0,30.0,730.0,730.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,1.0,0.0
342054,100,1.0,1.0,2.0,30.0,200.0,30.0,30.0,200.0,200.0,1,11,11,195,38.0,0.0,0.0,28,1.0,0,1.0,1.0,0.0,0.0
281229,100,1.0,1.0,7.0,30.0,730.0,30.0,30.0,730.0,730.0,18,48,64,131,20.3,1.0,0.0,81,1.0,60,1.0,1.0,0.0,0.0
352168,100,1.0,4.0,2.0,30.0,120.0,30.0,30.0,1125.0,1125.0,5,35,63,236,70.0,7.0,1.0,166,6.0,255,1.0,1.0,0.0,0.0
365153,0,1.0,1.0,4.0,30.0,60.0,30.0,30.0,60.0,60.0,0,0,0,0,48.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
373085,0,1.0,2.0,2.0,30.0,90.0,30.0,30.0,90.0,90.0,0,0,0,0,37.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
265109,0,1.0,3.0,3.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30,60,90,365,20.3,0.0,0.0,198,0.0,0,1.0,0.0,1.0,0.0
60049,100,1.0,3.0,3.0,30.0,180.0,30.0,30.0,1125.0,1125.0,15,45,75,255,41.0,4.0,1.0,183,3.0,240,1.0,1.0,0.0,0.0
60252,100,1.0,1.0,1.0,30.0,40.0,30.0,30.0,40.0,40.0,0,0,26,203,62.0,4.0,1.0,36,2.0,240,1.0,0.0,1.0,0.0
60278,100,3.0,3.0,4.0,26.8,730.0,26.7,180.0,730.0,730.0,29,59,75,75,5.0,0.0,0.0,75,0.0,0,1.0,1.0,0.0,0.0
